date,gold,silver
1990-04-02,368.0,4.9375
1990-04-03,374.8,5.001
1990-04-04,374.25,5.01
1990-04-05,378.1,5.1475
1990-04-06,380.35,5.179
1990-04-09,378.85,5.1435
1990-04-10,375.3,5.115
1990-04-11,374.1,5.085
1990-04-12,375.25,5.1275
1990-04-17,373.85,5.055
1990-04-18,374.7,5.0925
1990-04-19,376.6,5.091
1990-04-20,376.8,5.0775
1990-04-23,375.65,5.08
1990-04-24,377.95,5.1
1990-04-25,374.8,5.023
1990-04-26,371.35,4.96
1990-04-27,371.4,4.96
1990-04-30,371.55,4.936
1990-05-01,368.95,4.9525
1990-05-02,370.5,4.996
1990-05-03,369.15,5.01
1990-05-04,371.4,5.06
1990-05-08,372.1,5.0325
1990-05-09,369.7,4.9975
1990-05-10,371.0,5.0325
1990-05-11,368.25,5.049
1990-05-14,368.3,5.0515
1990-05-15,367.4,5.032
1990-05-16,369.6,5.02
1990-05-17,369.1,5.0275
1990-05-18,369.7,5.04
1990-05-21,373.4,5.1335
1990-05-22,372.4,5.125
1990-05-23,363.25,5.095
1990-05-24,367.65,5.2185
1990-05-25,366.35,5.225
1990-05-29,368.35,5.236
1990-05-30,365.7,5.13
1990-05-31,363.7,5.07
1990-06-01,363.1,5.074
1990-06-04,358.75,5.05
1990-06-05,357.85,5.05
1990-06-06,359.8,5.091
1990-06-07,353.25,4.986
1990-06-08,353.6,5.0125
1990-06-11,354.7,4.995
1990-06-12,356.0,5.01
1990-06-13,353.0,4.99
1990-06-14,346.75,4.91
1990-06-15,347.05,4.8375
1990-06-18,349.0,4.835
1990-06-19,348.45,4.8385
1990-06-20,347.05,4.8225
1990-06-21,350.0,4.8375
1990-06-22,349.35,4.822
1990-06-25,351.4,4.8425
1990-06-26,353.1,4.804
1990-06-27,350.3,4.811
1990-06-28,350.9,4.825
1990-06-29,352.4,4.84
1990-07-02,357.1,4.9075
1990-07-03,357.4,4.9575
1990-07-04,361.25,4.935
1990-07-05,358.85,4.8985
1990-07-06,360.35,4.88
1990-07-09,359.9,4.88
1990-07-10,357.55,4.8
1990-07-11,353.7,4.8125
1990-07-12,353.2,4.826
1990-07-13,359.1,4.896
1990-07-16,362.5,4.916
1990-07-17,361.3,4.85
1990-07-18,360.1,4.827
1990-07-19,361.55,4.881
1990-07-20,360.75,4.865
1990-07-23,361.8,4.882
1990-07-24,368.25,4.9
1990-07-25,367.4,4.874
1990-07-26,370.6,4.8525
1990-07-27,368.5,4.8365
1990-07-30,367.8,4.83
1990-07-31,371.1,4.855
1990-08-01,371.1,4.8125
1990-08-02,382.6,4.9325
1990-08-03,375.8,4.826
1990-08-06,380.0,4.875
1990-08-07,383.95,4.931
1990-08-08,384.75,4.872
1990-08-09,385.85,4.8825
1990-08-10,388.75,4.94
1990-08-13,399.9,5.085
1990-08-14,411.0,5.2015
1990-08-15,401.5,5.1325
1990-08-16,399.25,5.065
1990-08-17,410.5,5.21
1990-08-20,410.9,5.201
1990-08-21,407.85,5.16
1990-08-22,410.0,5.1165
1990-08-23,415.7,5.216
1990-08-24,412.0,5.134
1990-08-28,392.55,4.92
1990-08-29,389.1,4.86
1990-08-30,385.8,4.8375
1990-08-31,388.1,4.83
1990-09-03,387.5,4.85
1990-09-04,386.75,4.8165
1990-09-05,384.6,4.7575
1990-09-06,388.25,4.8
1990-09-07,388.85,4.7825
1990-09-10,382.5,4.77
1990-09-11,378.4,4.75
1990-09-12,380.65,4.795
1990-09-13,382.15,4.8175
1990-09-14,384.3,4.806
1990-09-17,387.9,4.7865
1990-09-18,390.55,4.785
1990-09-19,386.45,4.8
1990-09-20,386.0,4.795
1990-09-21,390.1,4.81
1990-09-24,390.15,4.829
1990-09-25,406.35,4.9275
1990-09-26,401.75,4.825
1990-09-27,401.9,4.7775
1990-09-28,406.1,4.795
1990-10-01,400.0,4.786
1990-10-02,389.25,4.69
1990-10-03,389.85,4.6915
1990-10-04,392.75,4.71
1990-10-05,393.0,4.715
1990-10-08,391.25,4.6675
1990-10-09,394.8,4.6925
1990-10-10,392.2,4.6275
1990-10-11,389.6,4.385
1990-10-12,388.3,4.2475
1990-10-15,381.85,4.259
1990-10-16,375.15,4.2025
1990-10-17,365.75,4.219
1990-10-18,370.0,4.2475
1990-10-19,371.75,4.2425
1990-10-22,368.5,4.231
1990-10-23,370.75,4.23
1990-10-24,371.1,4.2265
1990-10-25,373.9,4.23
1990-10-26,377.3,4.22
1990-10-29,371.0,4.07
1990-10-30,373.35,4.1365
1990-10-31,379.25,4.2225
1990-11-01,380.1,4.181
1990-11-02,379.75,4.23
1990-11-05,377.05,4.175
1990-11-06,381.4,4.223
1990-11-07,383.5,4.2265
1990-11-08,386.3,4.2625
1990-11-09,384.85,4.244
1990-11-12,381.9,4.2115
1990-11-13,383.2,4.21
1990-11-14,383.45,4.2
1990-11-15,378.5,4.175
1990-11-16,380.3,4.14
1990-11-19,377.6,4.13
1990-11-20,379.5,4.1435
1990-11-21,377.35,4.11
1990-11-22,380.2,4.1525
1990-11-23,380.0,4.145
1990-11-26,387.05,4.19
1990-11-27,384.25,4.1225
1990-11-28,384.75,4.114
1990-11-29,385.25,4.131
1990-11-30,384.8,4.0865
1990-12-03,381.75,4.1285
1990-12-04,377.0,4.164
1990-12-05,377.3,4.152
1990-12-06,373.8,4.121
1990-12-07,371.1,4.1475
1990-12-10,372.25,4.0975
